path,class,risk,invariant,n_distinct,n_present,val_glider,val_ultralight,val_ga_single,val_jet,val_electric
_blad/0/_Croot,FLIGHT,,False,4,4,,0.275000006,0.333333343,0.008333334,1.909999967
_blad/0/_Ctip,FLIGHT,,False,4,4,,0.208333328,0.250000000,0.008333334,0.434999973
_blad/0/_afl_file_1,FLIGHT,,False,4,4,,NASA LS(1)-0421 (hi-lift).afl,NACA 16 (good propeller).afl,Clark-Y (good propeller).afl,ROTOR-30-pct.afl
_blad/0/_afl_file_2,FLIGHT,,False,3,4,,NASA LS(1)-0421 (hi-lift).afl,Clark-Y (good propeller).afl,Clark-Y (good propeller).afl,ROTOR-60-pct.afl
_blad/0/_afl_file_3,FLIGHT,,False,2,4,,Clark-Y (good propeller).afl,Clark-Y (good propeller).afl,Clark-Y (good propeller).afl,ROTOR-90-pct.afl
_blad/0/_ailn1/0,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn1/1,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn1/2,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn1/3,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn1/4,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn1/5,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn1/6,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn1/7,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn1/8,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn1/9,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn1/count,FLIGHT,CONTROL,False,1,4,,10,10,10,10
_blad/0/_ailn1_hyd0123,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/0,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/1,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/2,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/3,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/4,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/5,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/6,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/7,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/8,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/9,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_ailn2/count,FLIGHT,CONTROL,False,1,4,,10,10,10,10
_blad/0/_ailn2_hyd0123,FLIGHT,CONTROL,False,1,4,,0,0,0,0
_blad/0/_bot_s1,FLIGHT,,False,2,4,,0.000000000,0.217777774,0.000000000,0.000000000
_blad/0/_bot_s2,FLIGHT,,False,3,4,,0.000000000,0.208888888,0.015625000,0.015625000
_blad/0/_bot_t1,FLIGHT,,False,4,4,,0.000000000,0.001481481,0.255859375,0.255858988
_blad/0/_bot_t2,FLIGHT,,False,4,4,,0.000000000,0.247407407,0.380859375,0.380858988
_blad/0/_c_off_for_RIB/0,FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/1,FLIGHT,,False,2,4,,-0.159090906,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/10,FLIGHT,,False,2,4,,-0.054878052,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/2,FLIGHT,,False,2,4,,-0.245412827,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/3,FLIGHT,,False,2,4,,-0.285999984,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/4,FLIGHT,,False,2,4,,-0.298611104,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/5,FLIGHT,,False,2,4,,-0.299019605,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/6,FLIGHT,,False,2,4,,-0.297770709,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/7,FLIGHT,,False,2,4,,-0.279411763,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/8,FLIGHT,,False,2,4,,-0.260638297,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/9,FLIGHT,,False,2,4,,-0.224137947,0.000000000,0.000000000,0.000000000
_blad/0/_c_off_for_RIB/count,FLIGHT,,False,1,4,,11,11,11,11
_blad/0/_c_rat_for_RIB/0,FLIGHT,,False,1,4,,1.000000000,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/1,FLIGHT,,False,2,4,,1.100000024,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/10,FLIGHT,,False,2,4,,0.819999993,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/2,FLIGHT,,False,2,4,,1.090000033,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/3,FLIGHT,,False,2,4,,1.250000000,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/4,FLIGHT,,False,2,4,,1.440000057,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/5,FLIGHT,,False,2,4,,1.529999971,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/6,FLIGHT,,False,2,4,,1.570000052,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/7,FLIGHT,,False,2,4,,1.529999971,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/8,FLIGHT,,False,2,4,,1.409999967,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/9,FLIGHT,,False,2,4,,1.159999967,1.000000000,1.000000000,1.000000000
_blad/0/_c_rat_for_RIB/count,FLIGHT,,False,1,4,,11,11,11,11
_blad/0/_chord_for_RIB/0,FLIGHT,,False,4,4,,0.275000006,0.333333343,0.008333334,1.909999967
_blad/0/_chord_for_RIB/1,FLIGHT,,False,4,4,,0.295166701,0.325000018,0.008333334,1.789713860
_blad/0/_chord_for_RIB/10,FLIGHT,,False,4,4,,0.170833334,0.250000000,0.008333334,0.434999973
_blad/0/_chord_for_RIB/2,FLIGHT,,False,4,4,,0.285216659,0.316666663,0.008333334,1.666511536
_blad/0/_chord_for_RIB/3,FLIGHT,,False,4,4,,0.318749994,0.308333337,0.008333334,1.540253520
_blad/0/_chord_for_RIB/4,FLIGHT,,False,4,4,,0.357600003,0.300000012,0.008333334,1.410681486
_blad/0/_chord_for_RIB/5,FLIGHT,,False,4,4,,0.369749993,0.291666687,0.008333334,1.277366161
_blad/0/_chord_for_RIB/6,FLIGHT,,False,4,4,,0.368950009,0.283333331,0.008333334,1.139599919
_blad/0/_chord_for_RIB/7,FLIGHT,,False,4,4,,0.349349976,0.275000006,0.008333334,0.996151865
_blad/0/_chord_for_RIB/8,FLIGHT,,False,4,4,,0.312549978,0.266666651,0.008333334,0.844599903
_blad/0/_chord_for_RIB/9,FLIGHT,,False,4,4,,0.249399990,0.258333325,0.008333334,0.678732336
_blad/0/_chord_for_RIB/count,FLIGHT,,False,1,4,,11,11,11,11
_blad/0/_dihed_design,FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
_blad/0/_dihed_full_up,FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
_blad/0/_elev1/0,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev1/1,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev1/2,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev1/3,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev1/4,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev1/5,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev1/6,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev1/7,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev1/8,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev1/9,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev1/count,FLIGHT,,False,1,4,,10,10,10,10
_blad/0/_elev1_hyd0123,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/0,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/1,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/2,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/3,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/4,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/5,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/6,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/7,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/8,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/9,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_elev2/count,FLIGHT,,False,1,4,,10,10,10,10
_blad/0/_elev2_hyd0123,FLIGHT,,False,1,4,,0,0,0,0
_blad/0/_els,FLIGHT,,False,1,4,,10,10,10,10
_blad/0/_engn_for_body,FLIGHT,,False,1,4,,-2,-2,-2,-2
